copr-, faeces (pl), stercus: oris n	кал
coquo: ere III	варить
cor: cordis n	сердце
corazolum	коразол
cordiaminum	кордиамин
cordigitum	кордигит
cornea, kerat-	роговица
corneus	роговой
corno: are I	венчать
cornu: us n	рог
cornu: us n	рожок
corona	венец
corona	корона
corona	коронка
coronarius	венечный
coronoideus	венечный
corpus: oris n	тело
corpusculum	тельце
correctio	исправление
corrigens: ntis	исправляющий
corrigens: ntis	корригирующий
corrigo: ere III	исправлять
cortex: icis m	кора
cortex: icis m	кора
cortex: icis m	корковое вещество
corticalis	корковый
costa	ребро
costa prima	первое ребро
costa secunda	второе ребро
costalis	реберный
costarius	реберный
coxa	бедро
coxa	таз
cranialis	краниальный
cranialis	черепной
cranium	череп
crassum	толстая кишка
crassus	жирный
crassus	толстый
crataegus: i	боярышник
creber: bra brum	частый
creo: are I	творить
crescentia	рост
crescentia	увеличение
cresco: ere III	расти
cribrosus	решетчатый
cribrum	решето
cricoesophageus	перстнепищеводный
cricoideus	перстневидный
crin-, -crinia, secretio: onis f	выделение
crin-, -crinia, secretio: onis f	секреция
cronicus	хронический
crouposus	крупозный
cruciatus	крестообразный
cruciatus	скрещенный
cruciformis	крестообразный
crus: cruris n	ножка
crux: crucis f	крест
cry-	низкая температура
cry-	холод
crystallisatus	кристаллический
Cu	cuprum
cuboideus	кубовидный
culex: icis m	кулекс (вид комара)
culmen: inis n	верх
culmen: inis n	вершина
culpa	вина
cum	вместес
cum	когда
cum	с
cum extracto	с экстрактом
cumulo: are I	достигать
cumulo: are I	складывать
cuneiformis	клиновидный
cura	забота
curatio: onis f	забота (о больном
curatio: onis f	забота
curatio: onis f	лечени
curatio: onis f	попечение
curatio: onis f	ребенке)
curativus	лечебный
curo: are I	заботиться
curo: are I	лечить
curriculum	бег
cursus: us	курс
cursus: us	прохождение
cursus: us	путь
curvatura	кривизна
cuspis: idis f	острие
cuspis: idis f	створка
cutaneus	кожный
cuticula	кожица
cuticula	кутикула
cutis: is f	кожа
cyanidum	цианид
cyst-	мешок
cyst-	пузырь
cyst-, vesica urinaria	пузырь мочевой
cysta	киста
cysticus	относ. к мочевому/желчному пузырю
cysticus	пузырный
cystosus	кистозный
dacry-, lacrima	слеза
dacryocyst-, saccus lacrimalis	слезный мешок
dactinomycinum	дактиномицин
de-, des-, se-	отделение
de-, des-, se-	удаление
deciduus	молочный (зуб)
decimus	десятый
decoctum	отвар
decubitus: us	пролежень
decursus morbi et exitus	течение болезни и исход
decussatio: onis f	перекрест
deferens	относящий
degeneratio	вырождение
delirium	бред
dens caninus	клык
dens deciduus	зуб молочный
dens incisivus	резец
dens molaris	зуб большой коренной
dens molaris	моляр
dens permanens: entis	зуб постоянный
dens premolaris	зуб малый коренной
dens premolaris	премоляр
dens serotinus	зуб мудрости
dens: ntis m	зуб
dentalis	зубной
depilatio	удаление волос
depuratus	очищенный (тв.)
desinfectio	обеззараживание
desoxycorticosteronum	дезоксикортикостерон
destillatus	дистиллированный
dexter: tra trum	правый
diabetes: ae m	диабет
diabeticus	диабетический
diaethylstilboestrolum	диэтилстильбэстрол
diagnosis	распознование
dialysis	отделение веществ
dialysis	разделение
diameter: tri f	диаметр
diameter: tri f	поперечник
diaphragma: atis n	диафрагма
diaphysis	диафиз
diarrhoea	понос
diazolinum	диазолин
dibazolum	дибазол
dibiomycinum	дибиомицин
dichlothiazidum	дихлотиазид
diencephalon	мозг промежуточный
diffusus	диффузный
digitalis: is f	наперстянка
digitus anularis	палец безымянный
digitus medius	палец средний
digitus minimus	мизинец
digitus: i	палец
dignus	достойный
dilatatio: onis f	расширение
dilutus	разведенный
dimedrolum	димедрол
diprophyllinum	дипрофиллин
dis-, dia-	разделение
discupulus	ученик
dissiminatia	дессиминация
dissiminatia	распространение возбудителя/болезни
dissiminatia	рассеивание
distalis	дистальный
disuria	нарушение мочеиспускания
diureticus	мочегонный
divisus	разделенный
do: dare I	выдавать
do: dare I	давать
doctor: oris m	наставник
doctor: oris m	преподаватель
doctor: oris m	учитель
dolich-	длинный
dolich-	удлиненный
dolor: oris m	боль
donum	дар
donum	подарок
dopa	дофа
dorsalis	дорсальный
dorsalis	спинной
dorsalis	тыльный
dorsum	спина
dorsum	спинка
dorsum	тыл
dosis: is f	доза
dragee: не скл	драже
dubium	сомнение
ductus: us	проток
dulcis	сладкий
dulcis, glyc-, gluc-	сахара наличие
dulcis, glyc-, gluc-	сладкий
duo	два
duodecim	двенадцать
duodenum	кишка двенадцатиперстная
