醋氨酚	Acetaminophen
DNA kinase	DNA激?
DNA ladder	DNA梯[如大小不同的标准参照物的电泳谱]
DNA ligase	DNA连接?
DNA nicking	DNA切口形成
DNA pitch	DNA螺距
DNA polymer	DNA聚合物
DNA polymerase	DNA聚合?
DNA sizing	DNA大小筛分
DNA sizing gene	DNA大小决定基因[如见于噬菌体，可决定所包装的DNA量]
DNA typing	DNA分型
DNAase	DNAø
DNAase I footprinting	DNA酶足迹法
docking	停靠
docking protein	船坞蛋白，停靠蛋白[内质网上与信号识别颗粒相互作用从而使蛋白质继续翻译的蛋白]
docosahexaenoic acid	二十二碳六烯酸
Doctor-in-charge	主治医师
document window	文件窗
dodecahedron	十二面体
dodecane	十二烷
dodecapeptide motif	十二肽基序
dodecyl	十二烷基
dolichol	多萜醇，长醇
domain	域，区域，结构域，功能域
domain assmbly	结构域装配
domain deletion	结构域删除
domain substitute	结构域置换
dominance	显性；优势（度）
dominance variance	显性方差
dominant	显性的，优势的
dominant acting gene	显性开放基因
dominant allele	显性等位基因
dominant gene	显性基因
dominant hemisphere	优势半球
dominant interference	显性干涉
dominant lethal	显性致死
dominant mutation	显性突变
dominant negative	显性阴性的，显性失活的
dominant negative mutant	显性失活突变体
dominant oncogenic	显性致癌的
domperidone	多潘立酮
Donnan dialysis	唐南透析
Donnan equilibrium	唐南平衡
Donnan potential	唐南膜电势
donor	供体，给体
donor splicing site	剪接供体
dopamine	多巴胺
dopamine agonist	多巴胺促效剂
dosage compensation	计量补偿（效应）
Dose modulation (DOM)	剂量调节(DOM)
Dose phantom	剂量水模
dose profile	剂量曲线
Dose utilization	剂量利用率
dose-response	剂量反应
drilling mud	钻探泥浆
drinking center	饮水中枢
driver box	驱动框
drop method	点滴法
droperidol	氟哌利多
droplet countercurrent chromatography	液滴反流层析，液滴逆流层析
dropping mercury electrode	滴汞电极
Drosophila	果蝇属
drug application review performance goals	药品申请绩效目标
Drug Efficacy Study Implementation process	药效研究实施程序
Drug Enforcement Administration	毒品强制执法局
drug infusion device	药物灌注装置
DRUG PRODUCT	药物产品
drug regimen information	药品使用信息
drug ring	药品集团
DRUG SUBSTANCE	原料药
drug susceptibility	药物敏感性
drug targeting	药物寻靶，药物导向
drug-eluting stents	药物释放支架
drum engage sensor stuck	鼓状啮合敏感夹
drum home sensor stuck	鼓状内部传感器夹
Dry	（干性皮肤）
dry	（干性皮肤）
DSA shift	数字化累计变换
DSHEA	[=Dietary Supplement Health and Education Act]《饮食补充剂健康和教育法》
DSP	DSP
DSP address generator	DSP 地址生成
DSP data memory	DSP 数据内存
DSP multiplier accumulator	DSP多重累加器
DSP timeout	DSP休息时间
DSP trap signal	DSP故障信号
DTSE (Dual Turbo Spin Echo)	双回波快速自旋回波
dual channel, phased array, receive-only coil	双通道，相控阵，接收线圈
dual contrast	双对比
Dual Contrast TSE (DTSE)	双对比TSE
dual echo	双回波
dual echo scan	双回波扫描
dual spin (DS)	双自旋
dual spin echo (DSE)	双自旋回波
dual-channel	双通道
Duchenne muscular dystrophy	Duchenne型肌营养不良，假肥大型肌营养不良
dullness	浊音
dummy dynamic scan	模拟动态扫描
dummy dynamic scan = dynamic dummy scan	模拟动态扫描
dummy gradient	模拟梯度
dummy measurement	模拟测量
dummy scan	模拟扫描
dunhill	登喜路
duocrinin	促十二指肠液素
duodenal ulcer	十二指肠溃疡
duplex	双链体；双螺旋；二显性组合
duplicon	重复子
dupont	都彭
dural mater	硬脑膜
duramycin	耐久霉素
dust cap	防尘盖
DV FID	DV FID
dwarf colony	侏儒型菌落
dwarf plant	矮化植物[由遗传因素决定不能长高]；矮生植物[由认为措施或特殊环境决定不能长高]
dyad	二分体，二联体
dyad symmetry	二重对称
Dyd Correction Anti-Wrinkle Firming eye Cream	抗皱紧实眼霜
dye exclusion test	染料排斥试验[用于检查细胞生活力]
dyn. scan	动态扫描
dynactin	动力蛋白激活蛋白
dynamic	动态
dynamic dummy scan	动态模拟扫描
dynamic enhanced MR	动态gadolinium 增强MR
dynamic imaging	动态成像
dynamic keyhole scan	动态匙孔扫描
dynamic parameter	动态参数
dynamic reference scan	动态参考扫描
dynamic scan	动态扫描
dynamic scan (DS)	动态扫描
dynamic scan time	动态扫描时间
Dynamic scan yo-yo stack order	动态扫描来回顺序设定叠快
dynamic study	动态研究
dynamic subtraction	动态减影
dynamin	发动蛋白
dynein	动力蛋白
dynein arm	动力蛋白臂
dynorphin	强啡肽
dysbacteria	菌群失调
dysbacteriosis	菌群失调
dysentery bacillus	痢疾杆菌
dysfunction	功能异常，机能障碍
dyskinesias	运动障碍
dyspnea	呼吸困难
dysregulation	调节异常
dystroglycan	（肌）营养不良（蛋白）聚糖[与肌）营养不良蛋白相关的蛋白聚糖]
dystrophin	(肌）营养不良蛋白
dysuria	尿痛
E rosette	E（玫瑰）花结[E表示红细胞erythrocyte]
E rosette test	E（玫瑰）花结试验
EA rossette	EA（玫瑰）花结[E表示红细胞erythrocyte,A表示抗体antibody]
EAC rossette	EAC（玫瑰）花结[E表示红细胞erythrocyte,A表示抗体antibody，C表示补体complement]
Eadie plot	Eadieͼ
Eadie plotting	Eadie作图法[用于酶促反应动力学]
ear drum	鼓膜
ear plugs	耳塞
early gene	早期基因[可特指病毒]
early hypersensitivity	早发型超敏反应
early phage	早期[有时特指病毒复制的早期]
early promoter	早期启动子[有时特指病毒]
early protein	早期蛋白[有时特指病毒]
early transcription	早期转录[有时特指病毒]
eburicoic acid	齿孔酸
eccentric stenosis	偏心狭窄
ecdysis	蜕皮
ecdyson	蜕皮激素[见于昆虫等节肢动物]
ecdyson response element	蜕皮激素效应元件
ecdysteroid hormone	蜕皮类固醇激素[见于血吸虫]
ECG	心电图
ECG	心电图
ECG electrode	心电图电极
ECG electrode attachment	心电图电极附件
ECG gating = cardiac gating	心电门控
ECG lead	心电图导联
ECG rod	心电图连接杆
ECG sensor	心电图传感器
ECG Simulator	心电图模拟器
ECG trace	心电图描绘
ECG trigger	心电图触发
ECG triggering	心电图触发
ECG waveform	心电图波形
echinomycin	棘霉素
echinonectin	海胆粘连蛋白
echiststin	锯鳞（蝮蝰）血抑（环）肽[可抑制血小板凝集]
echo	回波
echo 1DSI	一维SI回波
echo 2DSI	二维SI回波
echo acquisition	回波采集
echo correction	回波校正
echo delay	回波延迟
echo measurement	回波测量
echo planar imaging (EPI)	平面回波成像
echo shift	回波唯一
echo signal	回波信号
echo spacing	回波间隔
echo time	回波时间
echo time (TE)	回波时间 (TE)
echo top	回波尖部
echo train	回波链
echo train length (ETL)	回波链长
ECHO virus	ECHO病毒，艾柯病毒
echo volume localisation	容积回波定位
echo volume selection	容积回波选择
echo volume selection technique	容积回波选择技术
echocardiography	超声心动图
eclipse period	[细胞生长的]隐蔽期
eclipsed conformation	重叠构象
eclosion hormone	蜕壳激素[见于昆虫]
ecological isolation	生态隔离
ecology	生态学
ecosphere	生态圈
ecotropic retrovirus	亲嗜性逆转录病毒[只能在原始宿主细胞引起产毒性感染]
ecotype	生态型
ecteinascidin	海鞘素
ectendomycorrhiza	内外生菌根
ectoderm	外胚层
ectodesma	胞外连丝
ectodesmata	（复）胞外连丝
ectodomain	胞外（结构）域
ectoenzyme	胞外酶
ectomycorrhiza	外生菌根
ectopic	异位的
ectopic amplification	异位扩增[引物与非目标序列结合而引导的PCR扩增]
ectopic expression	异位表达
ectopic hormone	异位激素[不是由原内分泌腺所产生的激素]
ectopic insertion	异位插入
ectoplasm	外质
ectoplast	外质体
ectosarc	外质
ectospore	外生孢子；（孢子）表壁
ectotoxin	外毒素
ED distance	舒张末期间隔
ED image	舒张末期图像
Ed inner ROI	舒张末期内壁兴趣区
ED maximum	舒张末期最大
Ed outer ROI	舒张末期外壁兴趣区
ED ROI	舒张末期兴趣区
Eddy current adjustment (ECA)	涡电流调节
eddy current effect	涡电流 作用
Eddy delay	我留延迟
eddy diffusion	涡流扩散
edeine	伊短菌素
edema	水肿
edematic tissues	水肿组织
Edera Extract	長春藤 具抗氧化作用代謝廢物、排泄毒素
edge effect	边缘效应
edge enhancement	边缘增强
edge guideline	边界指示
editing	编辑[如RNA编辑，核酸外切编辑等]
editosome	编辑体[进行RNA编辑的场所]
Edman chemistry	Edman化学（原理）
Edman degradation	Edman 降解(法)[连续测定蛋白质N端氨基酸序列的经典方法]
Edman stepwise degradation	Edman 分步降解（法）
Educational Primer	教育性读本
EEPROM checksum	EEPROM 校验和
EF hand	EF手[由29个氨基酸组成的钙结合基序，含E、F两段螺旋，并形成螺旋-环-螺旋
effective echo time	有效回波时间
effective nuclear charge	有效核电荷
effective population size	有效群体大小，有效种群大小
effective quantum number	有效量子数
effective TE	有效 TE
effector	效应子，效应物，效应器，效应基因
effector cell	效应细胞
effector function	效应子功能
effector molecule	效应分子
effector site	效应物部位
effector T cell	效应（性）T细胞
efferent nerve	传出神经
efficiency of plating	成斑效率
efficiency percentage	有效百分比
efficient	高效的，有效的
efflorescence	风化
effluent	流出物，流出液
efflux	外向通量；流（出）量；流出
EGFR	[=pidermal growth factor receptor]表皮生长因子受体
egg nucleus	卵核
eglin	水蛭（蛋白酶）抑制剂[可抑制弹性蛋白酶、组织蛋白酶G等]
eicosane	二十碳烷
eicosanoic acid	二十（烷）酸
eicosanoid	类二十烷酸，类花生酸[指白细胞三烯，前列腺素、凝血 烷等激素]
eicosanol	二十碳醇
eicosapentaenoic acid	十二碳五烯酸
eiscosapentaenoic acid	二十碳五烯酸
eject button	弹出按钮
ejection fraction (EF)	射血分数 (EF)
ejection sounds	喷射音
elaidic acid	反油酸，反-9-十八碳单烯酸
elaioplast	油质体
elastase	弹性蛋白酶
elastatinal	弹性（蛋白）酶抑制剂
elastic fiber	弹性纤维
Elastin	彈力素 增加彈性、保濕
elastin	弹性蛋白
elastoma	高弹性
elbow support	肘部支持
Elder	接骨木 溫和緊膚、美白袪斑作用；兼能紓緩顏面神經緊張，舒緩肌肉僵硬
electric birefringence	电双折射
electric conductance	电导
electric conductivity	电导，电导率，电导性
electric coupling	电偶合
electric dehydration	电脱水（作用）
electric double layer	电双层
electric field	电场
electric field flow fractionation	电场流分级（分离）
electric impluse	电脉冲
electric potential	电势，电位
electric tape	绝缘胶布，绝缘胶带
electrical safety	电力安全
electrical stimulator	电刺激器
electrical synapse	电突触
electrical transmission	电传递
electrically facilitated flow	电易化流动，电促流动
electroblotting	电印迹
electroblotting device	电印迹仪，电印迹装置
Electrocardiogram	心电图
electrocardiogram	心电图
electrocatalysis	电催化
electrochemical gradient	电化学梯度
electrochemical proton gradient	质子电化学梯度
electrochemical reaction	电化学反应
electrochemical sensor	电化学传感器
electrochemiluminescence	电化学发光
electrode	电极
electrode pads	电极垫
electrode potential	电极电势
electrodeionization	电去离子，电脱离子
electrodialysis	电透析
electroeluate	电洗脱物
electroelution	电洗脱
electroencephalogram	脑电图
electroendoosmosis	电内渗
electrofusion	电融合
electrogenic ion pump	生电离子泵
electrogenic pump	生电泵
electrogenic sodium pump	生电钠泵
electroimmunoassay	电免疫测定（法）
electroimmunodiffusion	电免疫扩散
electrokinetic separation technique	动电分离技术
electrokinetic ultrafiltration analysis	动电超滤分析
electroluminescence	电致发光
electrolysis	电解
electrolyte	电解质
electrolyte solution	电解质溶液
electrolytic cell	电解池
electromagnetic disturbance	电磁干扰
electromagnetic emission	电磁辐射
electromagnetic emission level	电磁辐射级别
electromagnetic interference	电磁干扰
electromagnetic radiation	电磁辐射
Electromechanical Dissociation	电机械分离
electromorph	电泳异型酶[可通过电泳区分的同工酶]
electromotive force	电动势
electromyogram	肌电图
electron acceptor	电子受体，电子纳体
electron capture	电子俘获
electron cloud	电子云
electron collision	电子碰撞
electron cryomicroscopy	冷冻电（子显微）镜术
electron crystallography	电子晶体学
electron density	电子密度
electron diffraction	电子衍射
electron donor	电子给体，电子供体
electron flow	电子流，电子传递
electron impact	电子碰撞
electron impact desorption	电子碰撞解吸
electron impact ion source	电子碰撞离子源
electron ionization	电子电离
electron microscope	电（子显微）镜
electron microscopy	电（子显微）镜术
electron multiplier	电子倍增器
electron pair	电子对
electron pair relay system	电子对中继系统
electron pair repulsion	电子对互斥
electron paramagnetic resonance	电子顺磁共振
electron scattering	电子散射
electron shell repulsion	电子层推斥
electron shuttle	电子穿梭
electron spectroscopy	电子能谱学
electron spectroscopy for chemical analysis	光电子能谱（学），电子光谱（法）
electron spin	电子自旋
electron spin resonance	电子自旋共振
Electron Spin Resonance (ESR)	电子自旋共振
electron spin resonance imaging	电子自旋共振成像
electron stain	电子染色
electron transfer	电子传递，电子转移
electron transfer reaction	电子传递反应
electron transfer system	电子传递系统
electron transport	电子传递
electron transport chain	电子传递链
electron volt	电子伏特
electronegativity	电负性
electronic balance	电子天平
electronic controlled incubator	电子控制培养箱
electronic effect	电子效应
electronic energy level	电子能级
electronic quenching	电子猝灭
electronic spectrum	电子光谱
electronic submission	电子提交物
electronics	电子学
electroosmosis	电渗
electroosmotic flow	电渗流
electroosmotic mobility	电渗迁移率
electrophile	亲电体
electrophilic addition	亲电加成
electrophilic reagent	亲电（子）试剂
electrophilic rearrangement	亲电重排
electrophilic substitution	亲电取代
electrophobic reagent	疏电（子）试剂
electrophoresis	电泳
electrophoresis apparatus	电泳仪，电泳装置
electrophoresis buffer	电泳缓冲液
electrophoresis chamber	电泳槽
electrophoresis pattern	电泳图谱
electrophoresis tank	电泳槽
electrophoretic analysis	电泳分析
electrophoretic band	电泳条带
electrophoretic buffer	电泳缓冲液
electrophoretic force	电泳力
electrophoretic light scattering	电泳光散射
electrophoretic medium	电泳介质
electrophoretic migration	电泳迁移
electrophoretic mobility	电泳迁移率
electrophoretic mobility shift assay	电泳迁移率变动分析
electrophoretic property	电泳性质
electrophoretic separation	电泳分离
electrophoretic technique	电泳技术
electrophoretic transfer	电泳转移（法）
electrophoretically pure	电泳纯的
